,"BTC / Addresses, active, count","BTC / NVT, adjusted, 90d MA","BTC / NVT, adjusted, free float,  90d MA","BTC / NVT, adjusted","BTC / NVT, adjusted, free float","BTC / Flow, in, to exchanges, USD","BTC / Flow, out, from exchanges, USD","BTC / Fees, transaction, mean, USD","BTC / Fees, transaction, median, USD","BTC / Fees, total, USD","BTC / Miner revenue, USD","BTC / Capitalization, market, free float, USD","BTC / Capitalization, realized, USD","BTC / Capitalization, market, current supply, USD","BTC / Capitalization, market, estimated supply, USD","BTC / Volatility, daily returns, 30d","BTC / Volatility, daily returns, 180d","BTC / Difficulty, last","BTC / Difficulty, mean","BTC / Hash rate, mean","BTC / Hash rate, mean, 30d","BTC / Revenue, per hash unit, USD","BTC / Supply, Miner, held by all mining entities, USD","BTC / Block, size, mean, bytes","BTC / Block, weight, mean","BTC / Issuance, continuous, percent, daily",BTC / Network distribution factor,"BTC / Transactions, count","BTC / Transactions, transfers, count","BTC / Transactions, transfers, value, mean, USD",Google_btc_search,Wiki_btc_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate
2011-07-31,24519.0,28.368325955854992,28.36831362794604,72.71721447,72.71718287,1647.252166839686,1394.100194795025,0.0114383084095354,0.0,92.78755781815136,117105.7159527629,92967065.3983669,49040254.286966026,92967105.79870696,,0.0363503146934164,0.0928745885747402,1690895.803052393,1690895.80305239,14.7096050999351,12.45759305656962,0.092143209945,30386430.125609875,20120.3085714286,80481.23428571428,0.125864871655037,0.488391953932,8112.0,24513.0,329.2743047727263,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.421637858003288,9211.2,1.4388
2011-08-01,24432.0,27.502776016749834,27.50276407914609,46.69161309,46.69159282,2679.680438960141,1101.7210630355958,0.0124532524071423,0.0,103.312181969653,107511.00141867356,90614945.77961048,49073810.775372185,90614985.11112323,,0.0365686223070284,0.0929278295169222,1888786.705353048,1813228.36083825,14.8724516683645,12.56711999659184,0.083667462631,29578661.14759552,23267.1151515152,93068.4606060606,0.118531928361504,0.48824954688,8296.0,23613.0,302.4731263949298,3.468649816418171,,12132.490234375,1286.93994140625,1619.0,23.65999984741211,2744.610107421875,13.719310760498047,55.5427131652832,23.876741409301758,14.750239372253418,,56.835533142089844,51.383018493652344,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.4202
2011-08-02,20824.0,25.72846011077181,25.72844895565231,48.6784316,48.67841049,6303.725375110634,6361.993725617789,0.0106175133522857,0.0,88.50759130465414,94137.51217102408,85106372.92113027,49098426.85809769,85106409.8208191,,0.0380152595720069,0.0930094790277466,1888786.705353048,1888786.70535305,14.4593828449778,12.67201931190368,0.07535276925,27735718.070925187,24406.7597402597,97627.03896103895,0.110507545527685,0.488249354687,8336.0,19912.0,237.62817230182537,3.468649816418171,,11866.6201171875,1254.050048828125,1641.9000244140625,24.790000915527344,2669.239990234375,13.338574409484863,54.30960464477539,23.202394485473633,14.417410850524902,,55.67087173461914,50.08354949951172,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.4232
2011-08-03,18614.0,19.48859382386707,19.488585383682665,38.81812418,38.81810737,3459.317850280921,3655.6752446568416,0.0098173318433824,0.0,75.16149259293601,72973.06326357485,64778811.77401109,48574233.702432536,64778839.828644425,,0.0591652181884172,0.0948966303970983,1888786.705353048,1888786.70535305,14.7410591341657,12.77488116676864,0.057295451564,21082182.205471955,22302.6942675159,89210.77707006369,0.112533509343197,0.489313867299,7656.0,17137.0,233.5152200668328,3.468649816418171,,11896.4404296875,1260.3399658203125,1663.4000244140625,23.3799991607666,2693.070068359375,13.466912269592285,55.04946517944336,23.537242889404297,14.56358814239502,,56.38906478881836,50.56416702270508,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.432
2011-08-04,19254.0,22.558098382599223,22.55808862208861,59.79870091,59.79867503,933.7896223962092,4304.663497861932,0.0103593108551332,0.0,84.89455245781686,69541.74372770604,75187275.8048282,48689261.864328325,75187308.33711477,,0.0651886377054719,0.0951135637882844,1888786.705353048,1888786.70535305,12.1120804350788,12.8609557528669,0.066452769816,24453431.78381204,27139.6976744186,108558.7906976744,0.0923784222515679,0.489138323687,8195.0,18764.0,169.0368686484469,3.468649816418171,,11383.6796875,1200.0699462890625,1656.199951171875,31.65999984741211,2556.389892578125,12.73538589477539,52.46875,21.92344093322754,13.904670715332031,,53.53564453125,48.214412689208984,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.4158
2011-08-05,21833.0,20.25998292984968,20.25997417247482,27.60095958,27.60094765,3996.292591360188,3452.6658189912864,0.0085306295152485,0.0,64.4659672467333,68175.5436849557,68005476.05457443,48563388.051260725,68005505.44994488,,0.0624038564241792,0.0954764084860552,1888786.705353048,1888786.70535305,13.1448934954344,12.9317921408995,0.060028542105,22101683.351223152,22903.0571428571,91612.22857142855,0.100155240766267,0.490306749959,7557.0,21019.0,238.9546891899788,3.468649816418171,,11444.6103515625,1199.3800048828125,1648.800048828125,32.0,2532.409912109375,12.577102661132812,51.99311065673828,21.23048973083496,13.787731170654297,,52.77862548828125,47.91178894042969,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.4158
2011-08-06,19507.0,14.5397920282444,14.539785748901776,39.09895321,39.09893633,1800.2466332493802,2874.142210218992,0.0263441654058058,0.0,165.0725404327794,42646.50792897748,48716087.23573349,47861181.14209008,48716108.27490205,,0.0854054212187608,0.0989186860831435,1888786.705353048,1888786.70535305,11.4548357603071,12.9743363612613,0.043090433778,15807405.037606234,25190.3196721311,100761.2786885246,0.0872020300735529,0.490297369747,6266.0,17861.0,147.38266528574667,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.4158
2011-08-07,20134.0,17.707611382864698,17.707603742307803,44.85193618,44.85191683,3929.247271941617,1577.7171629053382,0.0085349291279317,0.0,56.48416096865227,53617.7819019973,59525705.05575208,47877246.50595186,59525730.74017233,,0.0947006876885707,0.0998966672428462,1888786.705353048,1888786.70535305,11.830404145891,12.9413411789335,0.052456042225,19286172.98325896,22252.9365079365,89011.74603174604,0.0899800759688643,0.489670026799,6618.0,19508.0,148.7317929878023,3.468649816418171,,,,,,,,,,,,,,0.0,,17031.313,54482.0,0.469448249443484,9387.6,1.4158
2011-08-08,24672.0,16.19338742570779,16.193380445294288,17.68425429,17.68424666,3155.499687323693,1192.4814492379903,0.0085315235444648,0.0,61.88767179154784,52934.18360972262,54492263.96728579,47143740.057083406,54492287.45704055,,0.0954891031913398,0.0999580614650912,1888786.705353048,1888786.70535305,12.7693251098506,12.9810825850714,0.047979369064,17639737.661926262,27377.5514705882,109510.20588235294,0.0970271177909597,0.495004217895,7254.0,20442.0,470.905575573658,3.468649816418171,,10809.849609375,1119.4599609375,1710.199951171875,48.0,2357.68994140625,12.097976684570312,48.83108139038086,19.88642692565918,13.016374588012695,,48.75082778930664,45.02800750732422,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.4241
2011-08-09,23592.0,20.338645152828065,20.33863639465888,31.66194382,31.66193019,4175.721524886751,3465.2245141243416,0.0126608625122187,0.0,114.20097986021275,71672.4471911986,68770875.7719589,47307495.49586766,68770905.38588946,,0.1058789800739176,0.1012321026045922,1888786.705353048,1888786.70535305,13.7082460738102,13.0832007739249,0.060514102854,22240874.581774224,28220.1780821918,112880.71232876711,0.104053081473638,0.493448839782,9020.0,23074.0,973.9444637061956,3.468649816418171,,11239.76953125,1172.530029296875,1740.0,35.060001373291016,2482.52001953125,12.482989311218262,51.0506706237793,20.723560333251953,13.56059455871582,,51.516902923583984,47.19974899291992,0.0,,17031.313,54482.0,0.469448249443484,9460.5,1.4242
