,"LTC / Addresses, active, count","LTC / NVT, adjusted, 90d MA","LTC / NVT, adjusted, free float,  90d MA","LTC / NVT, adjusted","LTC / NVT, adjusted, free float","LTC / Fees, transaction, mean, USD","LTC / Fees, transaction, median, USD","LTC / Fees, total, USD","LTC / Miner revenue, USD","LTC / Capitalization, market, free float, USD","LTC / Capitalization, realized, USD","LTC / Capitalization, market, current supply, USD","LTC / Capitalization, market, estimated supply, USD","LTC / Volatility, daily returns, 30d","LTC / Volatility, daily returns, 180d","LTC / Difficulty, last","LTC / Difficulty, mean","LTC / Hash rate, mean","LTC / Block, size, mean, bytes","LTC / Block, weight, mean","LTC / Issuance, continuous, percent, daily",LTC / Network distribution factor,"LTC / Transactions, count","LTC / Transactions, transfers, count","LTC / Transactions, transfers, value, mean, USD",Google_ltc_search,Wiki_ltc_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate
2013-07-21,9327.0,45.626731832330805,45.62671173636775,64.8695146,64.86948603,0.0476040371638229,0.0002664356576679,167.5662108166572,68641.53023148315,52336610.81615444,37061546.38509776,52336633.8674452,,0.0775748583018446,,957.5074896856584,957.507489685665,0.0244653491191174,3879.58365758755,15518.334630350197,0.130833718106695,0.809422004595,3520.0,8676.0,357.131854853475,0.7419354838709677,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.93763912918861,10702.3,1.3142
2013-07-22,9715.0,45.07367483337468,45.07365500850351,79.8583051,79.85826998,0.0551869306383832,0.0002620860276329,204.9090734603173,71623.35160344273,51553620.74471687,37157558.73599016,51553643.41968943,,0.0765470864212574,,894.1981680073353,922.425994003346,0.0249904544570306,5165.70642201835,20662.825688073397,0.138532289461245,0.809083186916,3713.0,9019.0,348.3558206106744,0.7419354838709677,,15545.5498046875,1695.530029296875,1336.4000244140625,12.289999961853027,3600.389892578125,16.83187484741211,69.090576171875,26.80194854736328,17.472930908203125,,69.86295318603516,68.17097473144531,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3193
2013-07-23,9968.0,47.00222885527538,47.00220821422066,57.815715,57.81568962,0.0460312251933266,0.0002715156515575,176.6678422919871,83124.69939312931,53491422.54304403,37270012.78583086,53491446.033842094,,0.0754548862796248,,894.1981680073353,894.198168007322,0.0271594583727525,3573.01800327332,14292.07201309329,0.155067842993736,0.80872895163,3838.0,9413.0,349.8533416006678,0.7419354838709677,,15567.740234375,1692.3900146484375,1335.0999755859375,12.65999984741211,3579.27001953125,16.844985961914062,68.79412078857422,26.754709243774414,17.397356033325195,,70.0189208984375,67.66978454589844,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3212
2013-07-24,9744.0,50.96756920717377,50.967546859052064,95.42816272,95.42812088,0.0433579915698507,0.000284,157.042645466,86067.042645466,56036879.73259924,37401057.18135408,56036904.30350929,,0.0747174299747317,,894.1981680073353,894.198168007322,0.0268927533805487,4136.1652892562,16544.661157024795,0.153309682374121,0.808551921726,3622.0,8913.0,434.3817724768982,0.7419354838709677,,15542.240234375,1685.93994140625,1319.699951171875,13.180000305175781,3579.60009765625,16.639562606811523,69.28819274902344,26.3579158782959,17.54622459411621,,70.51606750488281,67.88851165771484,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3228
2013-07-25,9915.0,49.94920626481342,49.949184393730725,81.10893014,81.10889463,0.0403514682589732,0.0002759082422139,148.93726934387055,76092.6809387226,54516214.82174591,37492469.29458901,54516238.692579016,,0.0714474713076038,,912.986420318377,896.005386469186,0.024541908812392,4013.0834845735,16052.33393829401,0.139431337437958,0.808321192473,3691.0,9210.0,375.8317189815865,0.7419354838709677,,15555.6103515625,1690.25,1329.0,12.970000267028809,3605.18994140625,16.7575740814209,69.72840118408203,26.67913055419922,17.596614837646484,,70.72077941894531,68.31675720214844,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3234
2013-07-26,8970.0,48.19342420118927,48.19340313180086,58.41856458,58.41853904,0.0292095706945483,0.0002630419530508,101.38641988077704,81249.82893606708,52055136.26029882,37574863.65660061,52055159.01797546,,0.0693203809295754,,912.986420318377,912.986420318371,0.0280024222924076,3186.72771474878,12746.910858995136,0.155889337477894,0.807501685362,3471.0,8766.0,365.1577923181118,0.7419354838709677,,15558.830078125,1691.6500244140625,1321.699951171875,12.720000267028809,3613.159912109375,16.661413192749023,69.70145416259766,26.3579158782959,17.564550399780273,,70.53555297851562,68.68130493164062,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3269
2013-07-27,8664.0,49.15648057200414,49.15645911064687,73.40880737,73.40877532,0.0321675881144144,0.0002630419530508,109.27329682466532,70604.51671445166,52125631.50371644,37641983.72090127,52125654.261393085,,0.0693201473061272,,912.986420318377,912.986420318371,0.0243262534015081,3219.81529850746,12879.26119402985,0.135240975708653,0.806593260215,3397.0,8490.0,311.73844865934586,0.7419354838709677,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3269
2013-07-28,8385.0,53.757071455008834,53.75704801812386,56.83989508,56.83987029,0.0345452942615187,0.0002848401519579,110.68312281390632,79723.50559505227,56524878.02148408,37775321.417376265,56524902.6650818,,0.0646875410233253,,912.986420318377,912.986420318371,0.0253701038273191,3211.60822898032,12846.432915921288,0.140845571984362,0.806317707641,3204.0,7959.0,551.8882409128056,0.7419354838709677,,,,,,,,,,,,,,0.0,,17860.45,56272.0,1.93763912918861,10660.8,1.3269
2013-07-29,9544.0,50.41362492464092,50.41360297567462,68.15321179,68.15318211,0.0369680966356476,0.000265,138.4455219005,72615.9455219005,52660192.303305626,37835099.80370305,52660215.23038719,,0.0660893973912781,,892.552834309726,901.929123319192,0.0245248215291358,4698.29798903108,18793.19195612432,0.137632365691847,0.805256353596,3745.0,9191.0,328.6382885569776,0.7419354838709677,,15521.9697265625,1685.3299560546875,1328.4000244140625,13.390000343322754,3599.139892578125,16.608966827392578,69.58464050292969,26.310691833496094,17.54163932800293,,70.37960815429688,68.55371856689453,0.0,,17860.45,56272.0,1.93763912918861,10647.7,1.3262
2013-07-30,9439.0,54.42699479378945,54.42697113065507,57.39845605,57.39843109,0.0489201961919111,0.000278254789135,178.9989978662028,77672.9577719662,55371647.56317158,37941164.19310492,55371671.63702156,,0.0619752984659799,,892.552834309726,892.552834309739,0.0247135564230906,4613.86894075404,18455.47576301616,0.139952355569283,0.805893396041,3659.0,8925.0,464.2271114648309,0.7419354838709677,,15520.58984375,1685.9599609375,1324.0,13.390000343322754,3616.469970703125,16.775056838989258,70.17753601074219,26.6082820892334,17.69968032836914,,70.85722351074219,68.91820526123047,0.0,,17860.45,56272.0,1.93763912918861,10647.7,1.3266
