,BTC / Active Addr Cnt,BTC / Tx Cnt,BTC / Miner Revenue per Hash (USD),BTC / Mean Hash Rate,BTC / 30 Day Volatility,BTC / Realized Market Cap (USD),BTC / Mean Tx Fee (USD),BTC / Exchange Withdrawals (USD),BTC / Exchange Deposits (USD),BTC / NVT,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,LTC / NVT,LTC / Mean Tx Fee (USD),LTC / Realized Market Cap (USD),LTC / 30 Day Volatility,LTC / Mean Hash Rate,LTC / Tx Cnt,LTC / Active Addr Cnt
2013-04-29,,,,,,,,,,,,,,,,,,,,,44.7003499,0.3228288048839763,24654230.133369364,,0.0141505046688137,9449.0,18646.0
2013-04-30,,,,,,,,,,,,,,,,,,,,,53.68945701,0.3787656349041967,25075724.738684084,,0.0136497945036096,8998.0,17704.0
2013-05-01,,,,,,,,,,,,,,,,,,,,,21.99723719,0.3073310176526978,26660319.86796513,0.335382374430694,0.0148591306118496,8950.0,16933.0
2013-05-02,,,,,,,,,,,,,,,,,,,,,37.62373491,0.213144522522579,26566549.33324632,0.2717656441884543,0.0125445875266484,8115.0,15862.0
2013-05-03,,,,,,,,,,,,,,,,,,,,,36.10694223,0.1666896116832418,26552806.62029721,0.2730295872510669,0.0095463591502983,6163.0,12821.0
2013-05-04,,,,,,,,,,,,,,,,,,,,,47.92067116,0.1681658257727497,26541236.236507837,0.2710739795013262,0.0100260756905144,6323.0,12604.0
2013-05-05,,,,,,,,,,,,,,,,,,,,,23.0511296,0.1494739056170555,26942105.45324063,0.2629494367959177,0.0095676502781865,5832.0,12092.0
2013-05-06,,,,,,,,,,,,,,,,,,,,,19.23173853,0.1943872882963005,27892489.95199,0.2629494367959177,0.0125570201075574,10610.0,18175.0
2013-05-07,,,,,,,,,,,,,,,,,,,,,27.51717169,0.1780221398551263,27920973.432575237,0.2659310216411985,0.0149619752929923,8771.0,16844.0
2013-05-08,,,,,,,,,,,,,,,,,,,,,60.80399987,0.1757927759804491,28068754.56403348,0.2648086299333432,0.0156719527086201,9007.0,16813.0
