,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,Google_eth_search,Wiki_eth_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate,ETH-USD
2015-02-13,,,,,,,,,,,0.6363636363636364,,18019.349609375,2096.989990234375,1226.5,14.6899995803833,4893.83984375,25.218006134033203,97.35688018798828,40.49129104614258,25.010787963867188,29.653636932373047,18.92963218688965,98.79183959960938,0.02,,18666.621,58121.0,-0.07911733,11822.0,1.1408,
2015-02-14,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.07911733,11822.0,1.1408,
2015-02-15,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.07911733,11822.0,1.1408,
2015-02-16,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.07911733,11864.8,,
2015-02-17,,,,,,,,,,,0.6363636363636364,,18047.580078125,2100.340087890625,1208.0999755859375,15.800000190734863,4899.27001953125,25.325336456298828,97.40191650390625,40.57672882080078,25.01542854309082,29.67176055908203,18.894350051879883,98.88422393798828,0.02,,18666.621,58121.0,-0.07911733,11864.8,1.1395,
2015-02-18,,,,,,,,,,,0.6363636363636364,,18029.849609375,2099.679931640625,1199.699951171875,15.449999809265137,4906.35986328125,25.240365982055664,97.58216857910156,40.439083099365234,25.061880111694336,29.73522186279297,18.974720001220703,99.02281951904297,0.02,,18666.621,58121.0,-0.07911733,11864.8,1.1342,
2015-02-19,,,,,,,,,,,0.6363636363636364,,17985.76953125,2097.449951171875,1207.0999755859375,15.289999961853027,4924.7001953125,25.253782272338867,97.96961212158203,40.42483139038086,25.16640853881836,29.844011306762695,19.037446975708008,99.5125961303711,0.02,,18666.621,58121.0,-0.07911733,11864.8,1.1392,
2015-02-20,,,,,,,,,,,0.6363636363636364,,18140.439453125,2110.300048828125,1204.4000244140625,14.300000190734863,4955.97021484375,25.37005615234375,98.59141540527344,40.61946105957031,25.312734603881836,30.043460845947266,19.22954750061035,100.17794036865234,0.02,,18666.621,58121.0,-0.07911733,11864.8,1.1372,
2015-02-21,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.07911733,11864.8,1.1372,
2015-02-22,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.07911733,11864.8,1.1372,
